Voyager2.UTCGregorian      Voyager2.SunMJ2000Eq.X    Voyager2.SunMJ2000Eq.Y    Voyager2.SunMJ2000Eq.Z    Voyager2.SunMJ2000Eq.VX   Voyager2.SunMJ2000Eq.VY   Voyager2.SunMJ2000Eq.VZ   
20 Aug 1977 15:31:44.000   128086088.0771607         -73976434.71790902        -32074198.71263387        21.68074852352458         31.83216835303791         19.54326663815672         
21 Aug 1977 15:31:44.000   129606965.7986089         -71339301.05776453        -30617546.59765445        17.32584378592358         30.53957782870107         16.8041328220705          
22 Aug 1977 15:31:44.000   131084917.8600535         -68691367.46332926        -29162098.56040641        16.88604877160254         30.75738033056433         16.88930642527448         
23 Aug 1977 15:31:44.000   132524768.6068663         -66024387.85489973        -27698957.09760745        16.44295765322942         30.97762840230931         16.97960898171101         
24 Aug 1977 15:31:44.000   133926098.6671065         -63338595.33301316        -26228086.86077495        15.99427377671814         31.19237027393495         17.0677759075412          
25 Aug 1977 15:31:44.000   135288413.1965496         -60634558.13782705        -24749752.75958828        15.53983844620111         31.3997830317944          17.15224094847713         
26 Aug 1977 15:31:44.000   136611223.0648011         -57912946.29923535        -23264303.57650825        15.07986185837322         31.59909820699028         17.23241037269041         
27 Aug 1977 15:31:44.000   137894063.0770777         -55174480.3091597         -21772124.89386952        14.61466991102635         31.78986389426688         17.30797750695844         
28 Aug 1977 15:31:44.000   139136498.6619583         -52419913.34581916        -20273623.19049923        14.14463989545124         31.97175933306885         17.37875037253722         
29 Aug 1977 15:31:44.000   140338129.1956458         -49650023.03737152        -18769218.81815215        13.67017803493411         32.1445333212957          17.44459419721442         
30 Aug 1977 15:31:44.000   141498590.0212457         -46865606.65045394        -17259342.186021          13.1917095095417          32.30797991530687         17.50540851742292         
31 Aug 1977 15:31:44.000   142617553.8305198         -44067477.70363335        -15744431.29695483        12.70967297766693         32.46192766504817         17.56111685951076         
01 Sep 1977 15:31:44.000   143694731.6629929         -41256463.23675933        -14224929.91934861        12.22451694328726         32.60623442982259         17.61166163503177         
02 Sep 1977 15:31:44.000   144729873.6317579         -38433401.40619041        -12701286.08493863        11.73669695985116         32.74078470309401         17.65700140875799         
03 Sep 1977 15:31:44.000   145722769.4275347         -35599139.25358429        -11173950.76711356        11.24667324945157         32.86548812532789         17.69710931907091         
